Estacion,Geopoint,stop_id,stop_desc,stop_lat,stop_lon,trip_heads,Estacion
Tepalcates,"19.39072824,-99.04651165",14200,Metro A,19.39072824,-99.04651165,La Paz - Pantitlán,Tepalcates
Tepito,"19.44256606,-99.12323356",14148,Metro B,19.44256606,-99.12323356,Buenavista - Ciudad Azteca,Tepito
Terminal Aérea,"19.43380448,-99.08820391",14212,Metro 5,19.43380448,-99.08820391,Pantitlán - Politécnico,Terminal Aérea
Tezonco,"19.306124,-99.065867",14232,Metro 12,19.306124,-99.065867,Tláhuac - Mixcoac,Tezonco
Tezozomoc,"19.49448847,-99.19593215",14128,Metro 6,19.49448847,-99.19593215,Martín Carrera - El Rosario,Tezozomoc
Tláhuac,"19.28680057,-99.01443243",14227,Metro 12,19.28680057,-99.01443243,Tláhuac - Mixcoac,Tláhuac
Tlaltenco,"19.294555,-99.023829",14228,Metro 12,19.294555,-99.023829,Tláhuac - Mixcoac,Tlaltenco
Tlatelolco,"19.45520174,-99.1430819",14100,Metro 3,19.45520174,-99.1430819,Indios Verdes - Universidad,Tlatelolco
U A M  I,"19.350327,-99.074808",14201,Metro 8,19.350327,-99.074808,Garibaldi - Constitución de 1917,U A M  I
Universidad,"19.32433595,-99.17407751",14076,Metro 3,19.32433595,-99.17407751,Indios Verdes - Universidad,Universidad
Valle Gómez,"19.45868169,-99.11988616",14140,Metro 5,19.45868169,-99.11988616,Pantitlán - Politécnico,Valle Gómez
Vallejo,"19.49031142,-99.15479779",14106,Metro 6,19.49031142,-99.15479779,Martín Carrera - El Rosario,Vallejo
Velódromo,"19.40811392,-99.10283804",14176,Metro 9,19.40811392,-99.10283804,Tacubaya - Pantitlán,Velódromo
Viaducto,"19.40074699,-99.13663387",14056,Metro 2,19.40074699,-99.13663387,Cuatro Caminos - Tasqueña,Viaducto
Villa de Aragón,"19.4613523,-99.06114578",14211,Metro B,19.4613523,-99.06114578,Buenavista - Ciudad Azteca,Villa de Aragón
Villa de Cortés,"19.38746949,-99.13862944",14092,Metro 2,19.38746949,-99.13862944,Cuatro Caminos - Tasqueña,Villa de Cortés
Viveros,"19.35376487,-99.17542934",14081,Metro 3,19.35376487,-99.17542934,Indios Verdes - Universidad,Viveros
Xola,"19.3950293,-99.13758874",14057,Metro 2,19.3950293,-99.13758874,Cuatro Caminos - Tasqueña,Xola
Zapata,"19.37073951,-99.1645503",14077,Metro Línea 3 correspondencia con línea 12.,19.37073951,-99.1645503,Indios Verdes - Universidad,Zapata
Zapotitlán,"19.29639028,-99.03402328",14229,Metro 12,19.29639028,-99.03402328,Tláhuac - Mixcoac,Zapotitlán
Zaragoza,"19.41179726,-99.08322573",14217,Metro 1,19.41179726,-99.08322573,Observatorio - Pantitlán,Zaragoza
Zócalo,"19.432602,-99.131879",14136,Metro 2,19.432602,-99.131879,Cuatro Caminos - Tasqueña,Zócalo
